2023/12/16_16:51:14
2023/12/16_16:51:49,I
2023/12/16_16:52:26,Space
2023/12/16_16:53:04,W5
2023/12/16_16:53:41,W1
2023/12/16_16:54:18,W2
2023/12/16_16:54:56,T
2023/12/16_16:55:33,O
2023/12/16_16:56:10,Space
2023/12/16_16:56:48,W1
2023/12/16_16:57:25,F
2023/12/16_16:58:02,DelChar
2023/12/16_16:58:40,R
2023/12/16_16:59:17,W2

