2023/12/20_18:50:12
2023/12/20_18:50:46,I
2023/12/20_18:51:23,Space
2023/12/20_18:52:00,W2
2023/12/20_18:52:37,DelWord
2023/12/20_18:53:15,W
2023/12/20_18:53:52,W4
2023/12/20_18:54:29,W1
2023/12/20_18:55:07,B
2023/12/20_18:55:44,W2
2023/12/20_18:56:21,W2
2023/12/20_18:56:58,O
2023/12/20_18:57:36,DelWord
2023/12/20_18:58:13,DelWord
2023/12/20_18:58:50,W5
2023/12/20_18:59:28,DelWord
2023/12/20_19:00:05,W1
2023/12/20_19:00:42,N
2023/12/20_19:01:20,W5
2023/12/20_19:01:57,DelWord
2023/12/20_19:02:34,N
2023/12/20_19:03:11,W1
2023/12/20_19:03:49,W3
