2023/12/08_19:04:37
2023/12/08_19:05:10,I
2023/12/08_19:05:48,Space
2023/12/08_19:06:25,W
2023/12/08_19:07:02,O
2023/12/08_19:07:40,U
2023/12/08_19:08:17,W1
2023/12/08_19:08:54,W1
2023/12/08_19:09:31,W1
2023/12/08_19:10:09,C
2023/12/08_19:10:46,W5
2023/12/08_19:11:23,M
2023/12/08_19:12:01,Y
2023/12/08_19:12:38,Space
2023/12/08_19:13:15,M
2023/12/08_19:13:53,C
2023/12/08_19:14:30,DelChar
2023/12/08_19:15:07,W2
